[2026-07-02T20:52:27.176Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 200 | 16ms | Body: undefined
[2026-07-02T20:52:27.188Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 9ms | Body: undefined
[2026-07-02T20:52:34.944Z] GET /api/admin/transactions?page=1 | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 200 | 10ms | Body: undefined
[2026-07-02T20:52:34.952Z] GET /api/admin/transactions?page=1 | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 5ms | Body: undefined
[2026-07-02T20:52:38.015Z] GET /api/admin/payments?page=1&status= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 13ms | Body: undefined
[2026-07-02T20:52:38.025Z] GET /api/admin/payments?page=1&status= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 4ms | Body: undefined
[2026-07-02T20:52:41.328Z] GET /api/admin/rtp | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 200 | 16ms | Body: undefined
[2026-07-02T20:52:41.330Z] GET /api/admin/rtp/players | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 15ms | Body: undefined
[2026-07-02T20:52:41.332Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 14ms | Body: undefined
[2026-07-02T20:52:41.345Z] GET /api/admin/rtp/players | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 8ms | Body: undefined
[2026-07-02T20:52:41.354Z] GET /api/admin/rtp | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 6ms | Body: undefined
[2026-07-02T20:52:41.357Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 7ms | Body: undefined
[2026-07-02T20:52:46.295Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 5ms | Body: undefined
[2026-07-02T20:52:46.298Z] GET /api/admin/rtp/players | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 10ms | Body: undefined
[2026-07-02T20:52:46.302Z] GET /api/admin/rtp | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 11ms | Body: undefined
[2026-07-02T20:52:50.823Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 8ms | Body: undefined
[2026-07-02T20:52:50.829Z] GET /api/admin/rtp/players | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 12ms | Body: undefined
[2026-07-02T20:52:50.832Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 6ms | Body: undefined
[2026-07-02T20:52:50.839Z] GET /api/admin/rtp/players | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 5ms | Body: undefined
[2026-07-02T20:52:55.105Z] GET /api/admin/rtp | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 27ms | Body: undefined
[2026-07-02T20:52:55.109Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 20ms | Body: undefined
[2026-07-02T20:52:55.122Z] GET /api/admin/rtp | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 7ms | Body: undefined
[2026-07-02T20:52:55.124Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 7ms | Body: undefined
[2026-07-02T20:52:55.142Z] GET /api/admin/dashboard | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 200 | 66ms | Body: undefined
[2026-07-02T20:52:55.161Z] GET /api/admin/dashboard | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 16ms | Body: undefined
[2026-07-02T20:53:05.109Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 200 | 20ms | Body: undefined
[2026-07-02T20:53:15.237Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 8ms | Body: undefined
[2026-07-02T20:53:25.246Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 9ms | Body: undefined
[2026-07-02T20:53:35.236Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 6ms | Body: undefined
[2026-07-02T20:53:45.241Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 7ms | Body: undefined
[2026-07-02T20:53:55.250Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 6ms | Body: undefined
[2026-07-02T20:54:05.238Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 5ms | Body: undefined
[2026-07-02T20:54:15.231Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 4ms | Body: undefined
[2026-07-02T20:54:38.240Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 6ms | Body: undefined
